Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
  117    3 0xffffff8001e25000 0x3000     0x3000     com.apple.driver.usb.networking (5.0.0) 0C19A14E-2361-369A-8D13-F5CDE31DF766 <53 38 8 7 6 3 1>
  118    2 0xffffff8001de3000 0x2000     0x2000     com.apple.driver.usb.cdc (5.0.0) 1D022E69-B1C9-3507-92EA-75B139AE570B <117 116 38 7 6 3 1>
  119    0 0xffffff8001e1b000 0x7000     0x7000     com.apple.driver.usb.cdc.ncm (5.0.0) C15EE936-099F-35B5-A64F-A2B5C3B0B84C <118 117 116 53 49 38 8 7 6 3 1>
  120    0 0xffffff8001e03000 0x2ff8     0x2ff8     com.apple.driver.usb.cdc.ecm (5.0.0) 786D6452-BC91-3F9E-82A6-71CF11FFDFDB <118 117 53 38 37 7 6 3 1>
  121    0 0xffffff8002d97000 0x1aff8    0x1aff8    com.apple.driver.usb.AppleUSBHub (1.2) D4FD22A9-DEBF-3BFA-BD0D-6AA99C1503F7 <38 36 17 7 6 3 1>
  122    0 0xffffff8002e7c000 0x6ffe     0x6ffe     com.apple.driver.usb.IOUSBHostHIDDevice (1.2) 8C238394-C2BA-36E6-914B-62FF4360D675 <60 38 36 7 6 3 1>
  123    0 0xffffff8001c39000 0x1fff     0x1fff     com.apple.driver.AppleUSBMassStorageInterfaceNub (556) 8912EE4B-9AE1-3AEE-8498-2BE8CAA68023 <39 38 34 33 29 18 7 6 3 1>
  124    0 0xffffff8002942000 0x5000     0x5000     com.apple.iokit.SCSITaskUserClient (500.120.2) AD07D787-8B03-318A-AD42-67A17F07516B <33 29 7 6 3 1>
  126    0 0xffffff8001cda000 0x61ffd    0x61ffd    com.apple.driver.AppleThunderboltDPOutAdapter (8.5.1) 9CD8C19B-4D86-367D-B045-466BF4B23499 <108 89 17 7 6 3 1>
  128    0 0xffffff7f952eb000 0x5eff4    0x5eff4    com.apple.driver.AppleThunderboltIP (4.0.3) C852AF59-452B-3E6B-BCED-1E6CD8CE74A0 <89 53 18 7 6 3 1>
  129    0 0xffffff7f95350000 0x1b000    0x1b000    com.apple.driver.AppleThunderboltNHISpeedTest (0.0.1) 01913634-C2A1-33D9-91A8-B6AD920E7F24 <89 18 8 7 6 3 1>
  130    0 0xffffff7f949ca000 0x3000     0x3000     com.apple.driver.AppleAVEBridge (6.1) 0537C4F2-C0C2-38F2-9373-D4262731D3F7 <81 7 6 3>
  131    0 0xffffff7f9541d000 0xaffc     0xaffc     com.apple.driver.BridgeAudioCommunication (530.2) 674365AF-469A-3815-B96A-FC5FEA1483C9 <81 9 7 6 3 1>
  132    1 0xffffff7f957c7000 0x7d000    0x7d000    com.apple.plugin.IOgPTPPlugin (1340.12) 773901F3-332B-364A-A13A-B619FA69758D <60 56 55 53 13 8 7 6 3 1>
  133    1 0xffffff7f9528f000 0x6ff9     0x6ff9     com.apple.driver.AppleSMBusController (1.0.18d1) 59615EB5-995C-3BC8-804B-F7D35BEBE0F3 <61 18 17 7 6 3>
  134   20 0xffffff7f956c4000 0x2efea    0x2efea    com.apple.iokit.IOGraphicsFamily (599) CA8B49BC-3655-312C-91AA-FB848251C78E <18 9 7 6 3 1>
  135    0 0xffffff7f95212000 0xb000     0xb000     com.apple.driver.AppleMCCSControl (1.17) C301587D-E0EF-3CC8-A5E3-F3F6A8C39999 <134 133 19 18 17 9 7 6 3 1>
  136    3 0xffffff7f95718000 0x8ffc     0x8ffc     com.apple.iokit.IONDRVSupport (599) 658C49F6-D61A-3AEB-BC56-B8EF5D1A1424 <134 18 9 7 6 3>
  137    1 0xffffff7f949e7000 0x2000     0x2000     com.apple.driver.AppleBacklightExpert (180.12) 90C782B6-6A93-3276-B846-89E6AB8B3DED <136 134 19 18 7 6 3>
  139    4 0xffffff7f95727000 0x3ffd     0x3ffd     com.apple.driver.IOPlatformPluginFamily (6.0.0d8) 7A59878B-5F84-35FD-95D1-60EB4EC0C59E <17 9 8 7 6 3>
  140    0 0xffffff7f95203000 0x4000     0x4000     com.apple.driver.AppleIntelPCHPMC (2.0.1) 96BBD89D-DFC8-3A59-8BC0-78C211264EE0 <139 19 18 17 6 3>
  141    1 0xffffff80029bf000 0x2ff5     0x2ff5     com.apple.iokit.IOSlowAdaptiveClockingFamily (1.0.0) 43C79203-8100-355D-897D-7086ACE55B55 <9 8 7 6 3 1>
  142    0 0xffffff7f9520b000 0xfff      0xfff      com.apple.driver.AppleIntelSlowAdaptiveClocking (4.0.0) F4637EA3-77A0-34B8-A12C-1DDF41B05118 <141 6 3>
  143    9 0xffffff7f94ae3000 0x4000     0x4000     com.apple.AppleGraphicsDeviceControl (8.1.10) 4ACC3A7E-A0A4-382F-B9B6-839CDB01BA5B <134 18 9 8 7 6 3 1>
  144    0 0xffffff7f94ad8000 0x6ff4     0x6ff4     com.apple.AppleGPUWrangler (8.1.10) 50674C51-24F3-36C7-9CA9-D67CE245A01E <143 134 18 9 8 7 6 3 1>
  145    1 0xffffff7f95754000 0x12ffa    0x12ffa    com.apple.driver.X86PlatformPlugin (1.0.0) 0A8DC667-EE07-38E1-A8F7-07643AEC1C1E <139 38 19 17 9 8 7 6 3 1>
  148    3 0xffffff7f9552c000 0x69ffc    0x69ffc    com.apple.iokit.IOAcceleratorFamily2 (485) 65CEB805-D326-3F15-9595-F6EC0A6D78DA <134 99 49 27 18 9 8 7 6 3 1>
  149    0 0xffffff7f94d6b000 0xa6ff2    0xa6ff2    com.apple.driver.AppleIntelCFLGraphicsFramebuffer (23.0.7) 8A4A36C6-E1FA-38D3-B216-E30213DE127E <148 143 134 49 18 17 9 8 7 6 3 1>
  150    2 0xffffff7f948cf000 0xc6000    0xc6000    com.apple.kext.AMDSupport (7.0.0) 96252463-7D09-3646-ACCE-9BFBDCB5CE31 <143 134 18 17 9 7 6 3 1>
  151    0 0xffffff7f80f0f000 0x5e000    0x5e000    com.apple.kext.AMD9500Controller (7.0.0) 342DB998-CD17-3172-9DB3-7C519EA42E08 <150 143 134 18 17 7 6 3 1>
